,Facility/HHS Code,Facility/HHS Desc,Last Month in QTR,Triage Category,Number of Attendances,Variation in the number of attendances (%),Patients Seen within clinically recommended times (%),Median Waiting time to treatment (minutes),Patients who did not wait for treatment (%),Patients admitted from the Emergency Department (%),Admissions to hospital within 4 hours (%),Patients whose ED stay was within 4 hours (%),Number of patients who left after treatment commenced,Percentage of patients who left after treatment commenced (%),Number of patients who did not wait for treatment,Median Wait Traffic Light
482,196,Ingham Hospital,MAR 2021,4,668,4.375,0.0,91.24,19.31,71.32,90.57,0,0,23,3.44,
483,196,Ingham Hospital,MAR 2021,5,906,79.4059405940594,5.0,99.73,5.41,87.76,97.24,1,0.11,10,1.1,
484,196,Ingham Hospital,MAR 2021,ALL,2389,27.413333333333334,0.0,94.17,23.02,79.82,90.87,10,0.42,38,1.59,
485,197,Joyce Palmer Health Service,MAR 2021,1,1,-50.0,2.0,100,100,0,0,0,0,0,0,
486,197,Joyce Palmer Health Service,MAR 2021,2,84,-2.325581395348837,0.0,91.57,61.9,100,95.24,1,1.19,1,1.19,
487,197,Joyce Palmer Health Service,MAR 2021,3,494,28.645833333333336,2.0,93.04,32.19,98.74,98.58,17,3.44,18,3.64,
488,197,Joyce Palmer Health Service,MAR 2021,4,564,42.0654911838791,2.0,98.01,14.36,95.06,97.52,7,1.24,48,8.51,
489,197,Joyce Palmer Health Service,MAR 2021,5,595,13.549618320610687,2.0,100,5.38,96.88,99.83,1,0.17,12,2.02,
490,197,Joyce Palmer Health Service,MAR 2021,ALL,1738,24.766690595836327,2.0,96.42,18.7,97.54,98.45,26,1.5,79,4.55,
491,200,Townsville University Hospital,MAR 2021,1,173,-21.004566210045663,0.0,100,85.55,54.73,57.23,1,0.58,0,0,
492,200,Townsville University Hospital,MAR 2021,2,3223,8.518518518518519,7.0,76.6,59.6,44.66,53.55,59,1.83,1,0.03,
493,200,Townsville University Hospital,MAR 2021,3,11240,4.684735028406445,13.0,78.29,33.74,38.45,62.7,448,3.99,291,2.59,
494,200,Townsville University Hospital,MAR 2021,4,8109,4.497422680412371,20.0,82.26,17.4,45.85,78.67,287,3.54,364,4.49,
495,200,Townsville University Hospital,MAR 2021,5,543,-37.44239631336406,16.0,96.59,2.03,54.55,96.5,13,2.39,29,5.34,
496,200,Townsville University Hospital,MAR 2021,ALL,23288,3.2544116342999025,13.0,79.98,31.27,41.88,67.74,808,3.47,685,2.94,
497,201,Royal Brisbane & Women's Hospital,MAR 2021,1,224,1.8181818181818181,0.0,100,81.25,65.38,62.05,2,0.89,0,0,
498,201,Royal Brisbane & Women's Hospital,MAR 2021,2,4277,17.371020856201977,10.0,53.6,57.56,41.31,49.36,118,2.76,29,0.68,
499,201,Royal Brisbane & Women's Hospital,MAR 2021,3,8787,9.782608695652174,25.0,58.94,45.41,40.15,55.68,183,2.08,191,2.17,
500,201,Royal Brisbane & Women's Hospital,MAR 2021,4,7337,0.8799670012374535,30.0,77.77,23.09,32.53,66.63,172,2.34,299,4.08,
501,201,Royal Brisbane & Women's Hospital,MAR 2021,5,16441,309.6934961375529,10.0,99.34,0.97,32.7,97.79,44,0.27,145,0.88,
502,201,Royal Brisbane & Women's Hospital,MAR 2021,ALL,37066,60.08465060032824,15.0,80.43,22.9,39.37,75.83,519,1.4,664,1.79,
503,202,Queensland Children's Hospital,MAR 2021,1,81,-4.705882352941177,0.0,100,83.95,48.53,50.62,0,0,0,0,
504,202,Queensland Children's Hospital,MAR 2021,2,2602,5.515004055150041,7.0,85.07,55,50.8,60.57,3,0.12,0,0,
505,202,Queensland Children's Hospital,MAR 2021,3,6255,13.008130081300813,14.0,77.01,30.01,40.86,66.62,2,0.03,64,1.02,
506,202,Queensland Children's Hospital,MAR 2021,4,9734,23.794989189876638,16.0,87.29,10.02,35.9,80.1,26,0.27,214,2.2,
507,202,Queensland Children's Hospital,MAR 2021,5,1532,52.89421157684631,14.0,96.92,4.18,57.81,91.12,3,0.2,41,2.68,
508,202,Queensland Children's Hospital,MAR 2021,ALL,20204,19.190608223703617,13.0,84.56,21.85,43.35,74.13,34,0.17,319,1.58,
509,211,Atherton Hospital,MAR 2021,1,13,62.5,0.0,100,30.77,25,53.85,0,0,0,0,
510,211,Atherton Hospital,MAR 2021,2,375,40.449438202247194,7.0,68.98,56,64.29,67.2,2,0.53,0,0,
511,211,Atherton Hospital,MAR 2021,3,1447,26.70753064798599,21.0,65.49,35.04,55.42,73.26,16,1.11,25,1.73,
512,211,Atherton Hospital,MAR 2021,4,2397,5.501760563380282,38.0,67.25,8.09,61.86,90.74,4,0.17,132,5.51,
513,211,Atherton Hospital,MAR 2021,5,1009,-10.62887511071745,26.0,93.16,0.59,83.33,97.62,1,0.1,57,5.65,
514,211,Atherton Hospital,MAR 2021,ALL,5241,8.779576587795766,26.0,71.03,17.57,58.85,85.46,23,0.44,214,4.08,
515,212,Babinda Hospital,MAR 2021,1,3,50.0,0.0,100,33.33,100,100,0,0,0,0,
516,212,Babinda Hospital,MAR 2021,2,31,34.78260869565217,0.0,100,48.39,80,87.1,0,0,0,0,
517,212,Babinda Hospital,MAR 2021,3,136,12.396694214876034,0.0,100,27.21,89.19,94.12,1,0.74,1,0.74,
518,212,Babinda Hospital,MAR 2021,4,353,21.724137931034484,0.0,100,11.9,92.86,97.17,2,0.57,12,3.4,
519,212,Babinda Hospital,MAR 2021,5,384,25.901639344262293,0.0,100,8.85,97.06,98.18,0,0,10,2.6,
520,212,Babinda Hospital,MAR 2021,ALL,907,22.402159244264507,0.0,100,14.22,91.47,96.8,3,0.33,23,2.54,
521,213,Bamaga Hospital,MAR 2021,1,2,0.0,0.0,100,50,100,100,0,0,0,0,
522,213,Bamaga Hospital,MAR 2021,2,33,3.125,0.0,100,69.7,100,100,2,6.06,0,0,
523,213,Bamaga Hospital,MAR 2021,3,102,-22.13740458015267,0.0,100,34.31,100,100,0,0,1,0.98,
524,213,Bamaga Hospital,MAR 2021,4,566,9.902912621359224,2.0,99.08,8.66,97.96,99.29,2,0.35,18,3.18,
525,213,Bamaga Hospital,MAR 2021,5,794,-0.9975062344139651,2.0,100,2.27,100,99.75,0,0,26,3.27,
526,213,Bamaga Hospital,MAR 2021,ALL,1497,1.0121457489878543,2.0,99.64,8.42,99.21,99.6,4,0.27,45,3.01,
527,214,Cairns Hospital,MAR 2021,1,230,-34.47293447293447,0.0,100,88.26,42.86,44.35,0,0,0,0,
528,214,Cairns Hospital,MAR 2021,2,3602,17.32899022801303,7.0,70.12,55.77,35.44,47.06,40,1.11,12,0.33,
529,214,Cairns Hospital,MAR 2021,3,9582,13.571174588123741,16.0,70.1,40.78,33.29,52.66,147,1.53,354,3.69,
530,214,Cairns Hospital,MAR 2021,4,7157,9.652213880802819,33.0,67.07,19.44,38.17,70.21,148,2.07,575,8.03,
531,214,Cairns Hospital,MAR 2021,5,955,-15.636042402826856,38.0,86.67,4.61,56.82,88.27,27,2.83,141,14.76,
532,214,Cairns Hospital,MAR 2021,ALL,21526,10.293590203412409,16.0,70.12,35.1,35.16,59.05,362,1.68,1082,5.03,
533,216,Cooktown Hospital,MAR 2021,1,18,50.0,0.0,100,55.56,70,55.56,0,0,0,0,
534,216,Cooktown Hospital,MAR 2021,2,175,59.09090909090909,2.0,91.81,61.14,90.65,89.71,1,0.57,2,1.14,
535,216,Cooktown Hospital,MAR 2021,3,414,84.82142857142857,10.0,89.68,36.71,96.71,95.41,4,0.97,2,0.48,
536,216,Cooktown Hospital,MAR 2021,4,606,20.717131474103585,23.0,83.82,9.24,91.07,96.04,4,0.66,25,4.13,
537,216,Cooktown Hospital,MAR 2021,5,481,-41.978287092882994,17.0,96.51,2.29,100,98.75,3,0.62,30,6.24,
538,216,Cooktown Hospital,MAR 2021,ALL,1694,1.0137149672033392,14.0,89.59,19.83,93.15,95.57,12,0.71,59,3.48,
539,222,Innisfail Hospital,MAR 2021,1,15,7.142857142857143,0.0,100,93.33,85.71,86.67,0,0,0,0,
540,222,Innisfail Hospital,MAR 2021,2,302,11.439114391143912,3.0,72.43,66.23,75,81.13,3,0.99,0,0,
541,222,Innisfail Hospital,MAR 2021,3,1184,14.396135265700485,17.0,68.84,43.75,74.13,84.54,15,1.27,18,1.52,
542,222,Innisfail Hospital,MAR 2021,4,1985,16.971125515615793,35.0,69.84,10.93,72.81,91.13,37,1.86,134,6.75,
543,222,Innisfail Hospital,MAR 2021,5,907,-6.68724279835391,31.0,88.16,12.24,88.29,95.48,16,1.76,63,6.95,
544,222,Innisfail Hospital,MAR 2021,ALL,4393,10.127851591877663,25.0,72.85,24.13,75.66,89.55,71,1.62,215,4.89,
545,223,Mareeba Hospital,MAR 2021,1,28,-31.707317073170728,0.0,100,17.86,20,64.29,1,3.57,0,0,
546,223,Mareeba Hospital,MAR 2021,2,460,14.427860696517413,7.0,74.02,39.13,66.67,76.52,7,1.52,1,0.22,
547,223,Mareeba Hospital,MAR 2021,3,1602,-1.6574585635359116,15.0,80.35,18.48,67.57,87.64,17,1.06,9,0.56,
548,223,Mareeba Hospital,MAR 2021,4,2463,11.196388261851016,19.0,87.64,3.65,70,96.51,15,0.61,66,2.68,
549,223,Mareeba Hospital,MAR 2021,5,1710,-28.0,18.0,96.94,0.94,81.25,98.48,14,0.82,43,2.51,
550,223,Mareeba Hospital,MAR 2021,ALL,6263,-5.989192434704292,16.0,86.89,9.37,67.63,93.17,54,0.86,119,1.9,
551,224,Mossman Hospital,MAR 2021,1,9,-35.714285714285715,0.0,100,11.11,100,66.67,0,0,0,0,
552,224,Mossman Hospital,MAR 2021,2,286,-14.880952380952381,7.0,72.08,30.07,20.93,53.85,7,2.45,1,0.35,
553,224,Mossman Hospital,MAR 2021,3,935,29.50138504155125,24.0,63.69,23.21,28.57,70.59,8,0.86,24,2.57,
554,224,Mossman Hospital,MAR 2021,4,1304,21.189591078066915,45.0,62.96,5.06,31.82,85.89,3,0.23,96,7.36,
555,224,Mossman Hospital,MAR 2021,5,899,21.81571815718157,36.0,86.37,3,85.19,92.88,1,0.11,60,6.67,
556,224,Mossman Hospital,MAR 2021,ALL,3433,18.953568953568954,30.0,69.06,11.56,31.49,80.83,19,0.55,181,5.27,
557,226,Thursday Island Hospital,MAR 2021,1,3,200.0,0.0,100,66.67,100,100,0,0,0,0,
558,226,Thursday Island Hospital,MAR 2021,2,98,2.0833333333333335,0.0,98.98,57.14,80.36,77.55,0,0,0,0,
559,226,Thursday Island Hospital,MAR 2021,3,192,7.262569832402234,3.0,98.94,32.29,87.1,87.5,2,1.04,3,1.56,
560,226,Thursday Island Hospital,MAR 2021,4,545,69.78193146417446,5.0,97.33,8.99,89.8,96.51,1,0.18,8,1.47,
561,226,Thursday Island Hospital,MAR 2021,5,675,10.114192495921696,5.0,99.65,2.67,88.89,98.37,0,0,8,1.19,
562,226,Thursday Island Hospital,MAR 2021,ALL,1513,25.041322314049584,5.0,98.63,12.36,86.1,94.98,3,0.2,19,1.26,
563,227,Tully Hospital,MAR 2021,1,6,-33.333333333333336,0.0,100,16.67,0,66.67,0,0,0,0,
564,227,Tully Hospital,MAR 2021,2,224,-25.08361204013378,0.0,89.69,28.13,77.78,79.46,5,2.23,0,0,
565,227,Tully Hospital,MAR 2021,3,630,0.3184713375796178,0.0,93.74,19.52,73.17,86.03,14,2.22,4,0.63,
566,227,Tully Hospital,MAR 2021,4,1220,100.6578947368421,0.0,87.18,3.2,74.36,93.2,30,2.46,35,2.87,
567,227,Tully Hospital,MAR 2021,5,330,-47.45222929936306,12.5,93.3,0.61,100,96.67,3,0.91,12,3.64,
568,227,Tully Hospital,MAR 2021,ALL,2410,10.957642725598527,0.0,89.89,9.46,74.56,90.46,52,2.16,51,2.12,
569,228,Weipa Hospital,MAR 2021,1,11,0.0,0.0,100,36.36,100,72.73,1,9.09,0,0,
570,228,Weipa Hospital,MAR 2021,2,136,54.54545454545455,2.0,90.44,52.21,94.37,91.91,0,0,0,0,
571,228,Weipa Hospital,MAR 2021,3,354,37.7431906614786,13.0,80.52,26.55,90.43,94.35,4,1.13,2,0.56,
572,228,Weipa Hospital,MAR 2021,4,876,9.774436090225564,26.0,78.67,8.22,86.11,94.29,4,0.46,17,1.94,
573,228,Weipa Hospital,MAR 2021,5,784,-18.248175182481752,26.0,93.51,1.53,75,97.19,6,0.77,41,5.23,
574,228,Weipa Hospital,MAR 2021,ALL,2161,2.806850618458611,20.0,84.81,11.71,89.72,95.09,15,0.69,60,2.78,
575,243,Cloncurry Hospital,MAR 2021,1,2,100.0,0.0,100,50,100,100,0,0,0,0,
576,243,Cloncurry Hospital,MAR 2021,2,80,185.71428571428572,1.0,96.15,42.5,94.12,93.75,2,2.5,0,0,
577,243,Cloncurry Hospital,MAR 2021,3,285,59.21787709497207,5.0,95.29,30.53,97.7,96.14,2,0.7,4,1.4,
578,243,Cloncurry Hospital,MAR 2021,4,382,-14.5413870246085,7.0,95.98,12.3,89.36,96.6,2,0.52,18,4.71,
579,243,Cloncurry Hospital,MAR 2021,5,396,59.03614457831325,7.0,98.45,5.56,95.45,97.47,1,0.25,12,3.03,
580,243,Cloncurry Hospital,MAR 2021,ALL,1145,26.65929203539823,6.0,96.59,16.68,94.76,96.59,7,0.61,34,2.97,
581,245,Julia Creek Hospital,MAR 2021,1,1,0.0,0.0,100,0,-,100,0,0,0,0,
582,245,Julia Creek Hospital,MAR 2021,2,6,100.0,2.5,100,0,-,50,0,0,0,0,
583,245,Julia Creek Hospital,MAR 2021,3,33,-38.888888888888886,0.0,96.97,0,-,84.85,0,0,0,0,
584,245,Julia Creek Hospital,MAR 2021,4,72,-8.860759493670885,0.0,98.53,0,-,93.06,0,0,0,0,
585,245,Julia Creek Hospital,MAR 2021,5,139,167.3076923076923,0.0,100,0,-,100,0,0,0,0,
586,245,Julia Creek Hospital,MAR 2021,ALL,251,33.51063829787234,0.0,99.07,0,-,94.82,0,0,0,0,
587,246,Mount Isa Base Hospital,MAR 2021,1,19,26.666666666666664,0.0,100,78.95,20,31.58,0,0,0,0,
588,246,Mount Isa Base Hospital,MAR 2021,2,683,6.386292834890965,5.0,89.53,49.05,49.25,60.47,37,5.42,5,0.73,
589,246,Mount Isa Base Hospital,MAR 2021,3,2227,4.455909943714822,15.0,71.77,27.57,32.74,66.82,82,3.68,113,5.07,
590,246,Mount Isa Base Hospital,MAR 2021,4,4362,-1.8672665916760405,37.0,68.08,8.21,36.87,85.35,85,1.95,468,10.73,
591,246,Mount Isa Base Hospital,MAR 2021,5,2289,129.5887662988967,28.0,95.49,1.49,23.53,95.85,10,0.44,192,8.39,
592,246,Mount Isa Base Hospital,MAR 2021,ALL,9580,16.389260114202404,23.0,76.91,14.15,37.54,81.67,214,2.23,778,8.12,
593,247,Normanton Hospital,MAR 2021,1,3,50.0,0.0,100,66.67,50,66.67,0,0,0,0,
594,247,Normanton Hospital,MAR 2021,2,65,71.05263157894737,0.0,93.85,78.46,96.08,90.77,0,0,0,0,
595,247,Normanton Hospital,MAR 2021,3,164,-10.382513661202186,0.0,96.89,46.95,98.7,95.12,4,2.44,3,1.83,
596,247,Normanton Hospital,MAR 2021,4,289,15.6,0.0,99.25,18.69,98.15,97.92,4,1.38,13,4.5,
597,247,Normanton Hospital,MAR 2021,5,227,84.5528455284553,0.0,100,7.93,94.44,97.8,3,1.32,6,2.64,
598,247,Normanton Hospital,MAR 2021,ALL,748,25.503355704697988,0.0,98.4,27.01,97.03,96.52,11,1.47,22,2.94,
599,249,Mornington Island Hospital,MAR 2021,1,4,-20.0,0.0,100,0,-,25,0,0,0,0,
600,249,Mornington Island Hospital,MAR 2021,2,79,-4.819277108433735,0.0,98.73,16.46,46.15,64.56,3,3.8,0,0,
601,249,Mornington Island Hospital,MAR 2021,3,201,-14.468085106382977,3.0,96.37,12.94,80.77,73.63,10,4.98,6,2.99,
602,249,Mornington Island Hospital,MAR 2021,4,648,-11.232876712328766,2.0,99.67,2.16,78.57,92.44,13,2.01,24,3.7,
603,249,Mornington Island Hospital,MAR 2021,5,549,23.927765237020317,3.0,99.55,0.55,66.67,95.99,2,0.36,8,1.46,
604,249,Mornington Island Hospital,MAR 2021,ALL,1481,-1.0026737967914439,2.0,99.09,3.78,71.43,89.53,28,1.89,38,2.57,
605,252,Doomadgee Hospital,MAR 2021,1,1,0.0,0.0,100,0,-,0,0,0,0,0,
606,252,Doomadgee Hospital,MAR 2021,2,39,34.48275862068966,0.0,94.87,23.08,66.67,58.97,2,5.13,0,0,
607,252,Doomadgee Hospital,MAR 2021,3,149,-17.22222222222222,1.0,97.18,20.13,83.33,84.56,5,3.36,6,4.03,
608,252,Doomadgee Hospital,MAR 2021,4,956,16.30170316301703,2.0,99.55,3.45,81.82,95.71,13,1.36,33,3.45,
609,252,Doomadgee Hospital,MAR 2021,5,874,-27.82824112303881,2.0,99.44,0.34,33.33,94.74,2,0.23,37,4.23,
610,252,Doomadgee Hospital,MAR 2021,ALL,2019,-9.946476360392506,2.0,99.22,3.71,78.67,93.71,22,1.09,76,3.76,
611,934,Robina Hospital,MAR 2021,1,84,7.6923076923076925,2.0,100,45.24,73.68,60.71,1,1.19,0,0,
612,934,Robina Hospital,MAR 2021,2,4028,50.24244684819097,10.0,55.27,54.87,80.72,73.61,77,1.91,26,0.65,
613,934,Robina Hospital,MAR 2021,3,8024,1.9956781492309648,20.0,63.16,40.49,49.86,54.75,496,6.18,420,5.23,
614,934,Robina Hospital,MAR 2021,4,14725,137.9990302246646,2.0,91.63,5.56,44.13,88.54,311,2.11,450,3.06,
615,934,Robina Hospital,MAR 2021,5,350,-25.847457627118644,28.0,88.22,3.43,75,85.14,17,4.86,45,12.86,
616,934,Robina Hospital,MAR 2021,ALL,27211,57.42551345096905,7.0,77.83,23.25,60.09,76.23,902,3.31,941,3.46,
617,936,Gold Coast University Hospital,MAR 2021,1,497,20.338983050847457,2.0,99.6,76.86,77.23,71.23,4,0.8,0,0,
618,936,Gold Coast University Hospital,MAR 2021,2,7030,24.424778761061948,12.0,46.2,54.89,54.91,53.78,150,2.13,69,0.98,
619,936,Gold Coast University Hospital,MAR 2021,3,15851,13.399627986836459,29.0,51.52,37.59,38.75,46.51,518,3.27,991,6.25,
620,936,Gold Coast University Hospital,MAR 2021,4,19257,95.502538071066,2.0,88.03,5.37,43.19,86.25,287,1.49,827,4.29,
621,936,Gold Coast University Hospital,MAR 2021,5,440,-51.85995623632385,27.0,87.57,5.45,75,81.59,11,2.5,62,14.09,
622,936,Gold Coast University Hospital,MAR 2021,ALL,43075,39.831196234377536,12.0,67.89,26.14,46.08,66.11,970,2.25,1949,4.52,
623,99999,Queensland,MAR 2021,1,4040,1.177059854745805,0.0,99.9,73.74,53.81,53.94,41,1.01,0,0,
624,99999,Queensland,MAR 2021,2,87084,13.181357386083024,8.0,67.22,57.67,51.91,56.42,1723,1.98,317,0.36,
625,99999,Queensland,MAR 2021,3,230938,8.478127099098591,20.0,63.85,37.85,45.63,60.08,8405,3.64,7077,3.06,
626,99999,Queensland,MAR 2021,4,213061,13.958911656317024,19.0,79.12,11.56,50.83,82.79,5147,2.42,10634,4.99,
627,99999,Queensland,MAR 2021,5,87486,34.224213320241184,12.0,95.93,2.28,72.84,96.37,606,0.69,2998,3.43,
628,99999,Queensland,MAR 2021,ALL,622609,14.038053651692596,15.0,73.9,26.86,48.75,72.4,15922,2.56,21026,3.38,
0,1,Mater Hospital Brisbane Public,SEP 2022,1,71,16,0.0,100,92,37,37,0,0,0,0,
1,1,Mater Hospital Brisbane Public,SEP 2022,2,1873,-8,11.0,48,56,34,44,50,3,15,1,
2,1,Mater Hospital Brisbane Public,SEP 2022,3,5210,-9,50.0,36,46,25,39,144,3,186,4,
3,1,Mater Hospital Brisbane Public,SEP 2022,4,3932,4,53.0,54,22,32,60,173,4,271,7,
4,1,Mater Hospital Brisbane Public,SEP 2022,5,679,5,48.0,83,7,49,78,31,5,84,12,
5,1,Mater Hospital Brisbane Public,SEP 2022,ALL,11765,-4,43.0,47,38,29,49,398,3,556,5,
6,4,The Prince Charles Hospital,SEP 2022,1,175,35,0.0,100,83,46,45,1,1,1,1,
7,4,The Prince Charles Hospital,SEP 2022,2,4803,17,9.0,60,62,34,44,47,1,14,0,
8,4,The Prince Charles Hospital,SEP 2022,3,12351,4,41.0,42,39,25,44,294,2,453,4,
9,4,The Prince Charles Hospital,SEP 2022,4,9414,-2,46.0,59,12,36,75,250,3,582,6,
10,4,The Prince Charles Hospital,SEP 2022,5,1492,-89,16.0,90,34,94,89,38,3,94,6,
11,4,The Prince Charles Hospital,SEP 2022,ALL,28235,-28,31.0,54,34,33,57,630,2,1144,4,
12,11,Princess Alexandra Hospital,SEP 2022,1,682,0,1.0,100,92,53,53,0,0,0,0,
13,11,Princess Alexandra Hospital,SEP 2022,2,4500,4,14.0,42,72,33,35,91,2,32,1,
14,11,Princess Alexandra Hospital,SEP 2022,3,8116,6,27.0,54,54,32,36,472,6,143,2,
15,11,Princess Alexandra Hospital,SEP 2022,4,2967,-16,26.0,83,27,28,45,278,9,104,4,
16,11,Princess Alexandra Hospital,SEP 2022,5,906,-43,24.0,97,19,50,63,87,10,59,7,
17,11,Princess Alexandra Hospital,SEP 2022,ALL,17171,-4,22.0,59,54,34,39,928,5,338,2,
18,15,Ipswich Hospital,SEP 2022,1,243,45,0.0,100,79,15,16,4,2,0,0,
19,15,Ipswich Hospital,SEP 2022,2,4722,1,15.0,35,58,27,33,265,6,25,1,
20,15,Ipswich Hospital,SEP 2022,3,9659,1,38.0,42,38,22,39,1049,11,410,4,
21,15,Ipswich Hospital,SEP 2022,4,4023,12,40.0,64,18,27,59,381,9,326,8,
22,15,Ipswich Hospital,SEP 2022,5,542,19,38.0,83,7,35,70,53,10,73,13,
23,15,Ipswich Hospital,SEP 2022,ALL,19189,4,30.0,46,39,24,42,1752,9,834,4,
24,16,Redcliffe Hospital,SEP 2022,1,108,42,0.0,100,72,33,37,1,1,0,0,
25,16,Redcliffe Hospital,SEP 2022,2,2499,12,7.0,70,58,36,48,50,2,7,0,
26,16,Redcliffe Hospital,SEP 2022,3,8491,6,30.0,51,41,22,36,602,7,361,4,
27,16,Redcliffe Hospital,SEP 2022,4,5147,-9,38.0,68,19,28,54,375,7,405,8,
28,16,Redcliffe Hospital,SEP 2022,5,1033,-84,34.0,88,4,44,84,28,3,66,6,
29,16,Redcliffe Hospital,SEP 2022,ALL,17278,-23,26.0,61,35,27,46,1056,6,839,5,
30,22,Queen Elizabeth II Jubilee Hospital,SEP 2022,1,142,-25,1.0,100,70,25,34,3,2,0,0,
31,22,Queen Elizabeth II Jubilee Hospital,SEP 2022,2,2886,-2,7.0,74,67,47,51,84,3,1,0,
32,22,Queen Elizabeth II Jubilee Hospital,SEP 2022,3,8835,14,21.0,60,42,32,40,1177,13,168,2,
33,22,Queen Elizabeth II Jubilee Hospital,SEP 2022,4,3646,-8,33.0,69,16,41,57,540,15,156,4,
34,22,Queen Elizabeth II Jubilee Hospital,SEP 2022,5,191,-18,53.0,84,8,56,76,34,18,14,7,
35,22,Queen Elizabeth II Jubilee Hospital,SEP 2022,ALL,15700,4,17.0,65,41,37,46,1838,12,339,2,
36,28,Redland Hospital,SEP 2022,1,178,14,0.0,100,61,24,29,1,1,0,0,
37,28,Redland Hospital,SEP 2022,2,2677,2,8.0,67,52,49,55,41,2,8,0,
38,28,Redland Hospital,SEP 2022,3,7631,1,19.0,63,31,41,56,171,2,213,3,
39,28,Redland Hospital,SEP 2022,4,3650,2,23.0,74,9,50,79,65,2,182,5,
40,28,Redland Hospital,SEP 2022,5,393,15,28.0,93,5,39,89,6,2,21,5,
41,28,Redland Hospital,SEP 2022,ALL,14529,2,15.0,68,29,44,62,284,2,424,3,
42,29,Logan Hospital,SEP 2022,1,320,24,0.0,100,81,35,38,4,1,0,0,
43,29,Logan Hospital,SEP 2022,2,7685,6,11.0,50,62,51,49,342,4,49,1,
44,29,Logan Hospital,SEP 2022,3,12515,1,28.0,53,43,43,46,1226,10,427,3,
45,29,Logan Hospital,SEP 2022,4,4189,-22,29.0,70,17,39,57,465,11,286,7,
46,29,Logan Hospital,SEP 2022,5,550,-17,30.0,83,7,72,72,61,11,80,15,
47,29,Logan Hospital,SEP 2022,ALL,25259,-3,20.0,56,44,46,49,2098,8,842,3,
48,30,Caboolture Hospital,SEP 2022,1,72,50,0.0,100,71,22,29,1,1,0,0,
49,30,Caboolture Hospital,SEP 2022,2,3349,3,10.0,54,51,27,37,176,5,23,1,
50,30,Caboolture Hospital,SEP 2022,3,8614,-2,25.0,58,35,22,42,1002,12,296,3,
51,30,Caboolture Hospital,SEP 2022,4,3284,8,24.0,83,15,30,65,348,11,170,5,
52,30,Caboolture Hospital,SEP 2022,5,244,-3,24.0,94,7,76,82,35,14,25,10,
53,30,Caboolture Hospital,SEP 2022,ALL,15563,1,20.0,63,34,25,46,1562,10,514,3,
54,32,Sunshine Coast University Hospital,SEP 2022,1,196,10,0.0,100,79,43,44,4,2,0,0,
55,32,Sunshine Coast University Hospital,SEP 2022,2,4693,8,8.0,70,62,37,44,57,1,1,0,
56,32,Sunshine Coast University Hospital,SEP 2022,3,11215,9,15.0,72,46,33,47,303,3,142,1,
57,32,Sunshine Coast University Hospital,SEP 2022,4,5742,-4,24.0,78,18,41,68,301,5,180,3,
58,32,Sunshine Coast University Hospital,SEP 2022,5,649,12,31.0,93,5,55,80,35,5,32,5,
59,32,Sunshine Coast University Hospital,SEP 2022,ALL,22495,5,13.0,74,41,35,53,700,3,355,2,
60,41,Beaudesert Hospital,SEP 2022,1,14,0,1.0,100,29,25,50,0,0,0,0,
61,41,Beaudesert Hospital,SEP 2022,2,513,16,6.0,80,10,14,65,12,2,1,0,
62,41,Beaudesert Hospital,SEP 2022,3,1252,16,9.0,93,5,11,80,35,3,17,1,
63,41,Beaudesert Hospital,SEP 2022,4,1673,-4,7.0,97,3,19,87,72,4,74,4,
64,41,Beaudesert Hospital,SEP 2022,5,410,-2,5.0,99,3,69,94,11,3,21,5,
65,41,Beaudesert Hospital,SEP 2022,ALL,3862,5,7.0,93,5,18,83,130,3,113,3,
66,42,Boonah Hospital,SEP 2022,1,6,200,0.0,100,0,-,67,1,17,0,0,
67,42,Boonah Hospital,SEP 2022,2,80,-19,0.0,93,15,83,81,1,1,0,0,
68,42,Boonah Hospital,SEP 2022,3,309,5,0.0,98,9,83,88,2,1,3,1,
69,42,Boonah Hospital,SEP 2022,4,378,-2,0.0,99,3,82,94,1,0,6,2,
70,42,Boonah Hospital,SEP 2022,5,122,56,0.0,100,7,100,95,0,0,3,2,
71,42,Boonah Hospital,SEP 2022,ALL,895,4,0.0,98,7,85,91,5,1,12,1,
72,43,Caloundra Hospital,SEP 2022,1,0,0,,-,-,-,-,0,-,0,-,
73,43,Caloundra Hospital,SEP 2022,2,87,64,6.0,77,0,-,100,0,0,1,1,
74,43,Caloundra Hospital,SEP 2022,3,332,77,17.0,80,0,-,100,1,0,3,1,
75,43,Caloundra Hospital,SEP 2022,4,3352,89,31.0,76,0,-,99,9,0,91,3,
76,43,Caloundra Hospital,SEP 2022,5,793,4,27.0,96,0,-,100,4,1,25,3,
77,43,Caloundra Hospital,SEP 2022,ALL,4564,64,27.0,79,0,-,99,14,0,120,3,
78,44,Esk Hospital,SEP 2022,1,3,0,0.0,100,0,-,67,0,0,0,0,
79,44,Esk Hospital,SEP 2022,2,101,-13,0.0,94,35,86,76,4,4,0,0,
80,44,Esk Hospital,SEP 2022,3,194,-9,0.0,95,18,79,75,3,2,1,1,
81,44,Esk Hospital,SEP 2022,4,306,5,0.0,97,6,63,88,5,2,4,1,
82,44,Esk Hospital,SEP 2022,5,80,-17,0.0,100,1,0,98,2,3,4,5,
83,44,Esk Hospital,SEP 2022,ALL,684,-5,0.0,96,13,78,83,14,2,9,1,
